Date,Text,sentences,Country
1915-01-18,"Japan issues the ""Twenty-One Demands"" to the Republic of China in a bid to increase its power in East Asia.",1,JP
1917-02-28,AP reports Mexico & Japan will allie with Germany if US enters WW I,1,JP
1918-07-12,"Japanese battleship explodes in Bay of Tokayama, 500 killed",1,JP
1918-08-02,Japan announces that it is deploying troops to Siberia in the aftermath of World War I.,1,JP
1920-12-17,Japan receives League of Nations mandate over Pacific islands,1,JP
1921-09-03,16th Davis Cup: USA beats Japan in New York (5-0),1,JP
1921-11-04,Japanese Prime Minister Hara Takashi is assassinated in Tokyo.,1,JP
1921-11-13,"US, France, Japan & British Empire sign a Pacific Treaty",1,JP
1922-02-06,"US, UK, France, Italy & Japan sign Washington naval arms limitation",1,JP
1922-08-26,"Japanese cruiser Niitaka driven onto rocks in storm at Kamchatka, 284 killed",1,JP
1922-11-25,Japanese crown prince Hirohito appointed prince regent,1,JP
1922-11-30,1st speed test of 1st genuine Japanese aircraft carrier Hosho,1,JP
1923-12-27,Unsuccessful attempt on prince-regent Hirohito of Japan,1,JP
1924-09-01,"Kenchoji Rinzai temple in Kamakur Japan, heavily damaged by earthquake",1,JP
1925-02-25,The diplomatic relations between Japan and the Soviet Union were established.,1,JP
1925-03-02,Japan's House of Representatives recognizes male suffrage,1,JP
1926-08-20,"Japan's public broadcasting company, Nippon Hōsō Kyōkai(NHK) is established.",1,JP
1926-12-25,Prince-regent Hirohito becomes Emperor of Japan (1926-1989) upon the death of his father Yoshihito,1,JP
1927-03-07,"Earthquake measuring 8 on Richter scale strikes Tango, Japan",1,JP
1927-04-17,Japan's Wakarsoeki government falls/Baron Tanaka becomes premier,1,JP
1927-05-27,Japanese military intervention in Chinese civil war,1,JP
1927-12-30,Japan dedicates 1st subway in Orient (route under 2 miles long),1,JP
1928-04-19,Japanese troops occupies Sjantung-schiereiland,1,JP
1928-05-03,"Japanese atrocities in Jinan, China.",1,JP
1928-06-04,President of the Republic of China Zhang Zuolin is assassinated by Japanese agents.,1,JP
1928-11-10,Emperor Hirohito's official coronation as Emperor of Japan,1,JP
1930-04-22,"US, Britain & Japan sign London Naval Treaty",1,JP
1930-11-18,"Sōka Kyōiku Gakkai, a Buddhist association later renamed Soka Gakkai, is founded by Japanese educators Tsunesaburo Makiguchi and Josei Toda.",1,JP
1930-11-25,"690 earthquake shocks recorded in 1 day (Ito, Japan)",1,JP
1931-02-17,1st telecast of a sporting event in Japan (baseball),1,JP
1931-09-18,"Japan takes Manchuria, renames it Manchukuo",1,JP
1931-09-19,"Japanese troops conquer Mukden, South Manchuria",1,JP
1931-09-28,"Peking (200,000 demonstrators demand declaration of war on Japan)",1,JP
1931-10-05,"1st nonstop transpacific flight, Japan to Wash (Herndon & Pangborn)",1,JP
1931-12-09,Japanese army attacks Chinese province of Jehol,1,JP
1931-12-11,Japan leaves the Gold Standard,1,JP
1931-12-12,Japanese government of Imukai forms,1,JP
1932-01-28,Japanese forces attack Shanghai.,1,JP
1932-02-04,"Japanese troops occupy Harbin, Manchuria",1,JP
1932-02-18,Japan declares Manchuria independent,1,JP
1932-02-20,Japanese troops occupy Tunhua China,1,JP
1932-05-05,Japan & China sign a peace treaty,1,JP
1932-05-15,"The 15th May Incident: in an attempted coup d'état, the Prime Minister of Japan Inukai Tsuyoshi is killed.",1,JP
1933-02-24,League of Nations tells Japanese to pull out of Manchuria,1,JP
1933-03-02,Most powerful earthquake in 180 years hit Japan,1,JP
1933-03-27,Japan leaves League of Nations,1,JP
1933-11-29,Japan begins persecution of communists,1,JP
1934-01-20,Japan sends Henry Pu Yi as regent to emperor of Manchuria,1,JP
1934-03-21,"Fire destroys Hakodate Japan, killing about 1,500",1,JP
1934-03-22,"Fire destroys Hakodate Japan (kills 1,500, injures 1,000)",1,JP
1934-09-21,"Typhoon strikes Honshu Island Japan, kills 4,000",1,JP
1934-10-20,All-Star team led by Babe Ruth & Connie Mack sails to Hawaii & Japan,1,JP
1934-11-02,"Babe Ruth tours Tokyo, Japan",1,JP
1934-11-20,"Eiji Sawamura, 17, gives up 1 hit, Lou Gehrig's HR, US beats Japan 1-0",1,JP
1934-12-19,Japan agrees to naval treaty of 1922 & 1930,1,JP
1934-12-26,"Yomiuri Giants, Japan's 1st professional baseball team forms",1,JP
1934-12-29,Japan renounces Wash Naval Treaty of 1922 & London Treaty of 1930,1,JP
1935-06-09,"Ho-Umezu Agreement: the Republic of China, under KMT administration, recognizes Japanese occupations in Northeast China.",1,JP
1935-12-08,"The Japanese military police launches a violent suppression of the religious sect Oomoto, beginning with a crackdown on the sect's operational bases of Ayabe and Kameoka in Kyoto Prefecture and the arrest of its leader Onisaburo Deguchi.",1,JP
1936-04-29,"1st pro baseball game in Japan is played Nagoya defeats Daitokyo, 8-5",1,JP
1936-06-28,The Japanese puppet state of Mengjiang is formed in northern China.,1,JP
1936-07-31,Tokyo Japan is awarded the 1940 Olympics (later cancelled),1,JP
1936-11-15,Nazi-Germany & Japan sign Anti-Komintern pact,1,JP
1936-11-25,Germany & Japan sign anti-Komintern pact,1,JP
1936-12-12,Chinese leader Chiang Kai-shek declares war on Japan,1,JP
1937-02-06,K Elizabeth Ohi becomes 1st Japanese-US female lawyer,1,JP
1937-06-01,Prince Konoye becomes Japanese premier,1,JP
1937-07-07,"Japanese & Chinese troops clash, (Marco Polo Bridge), beginning of Second Sino-Japanese War",1,JP
1937-07-15,"Japanese attack Marco Polo Bridge, invade China",1,JP
1937-07-29,Japanese troops occupies Peking & Tientsin,1,JP
1937-08-14,China declares war on Japan,1,JP
1937-08-25,Japanese fleet blockades Chinese coast,1,JP
1937-11-09,Japanese army conquers Shanghai,1,JP
1937-12-01,Japan recognizes Franco government,1,JP
1937-12-14,Japanese troops conquer/plunder Nanjing,1,JP
1938-06-17,Japan declares war on China,1,JP
1938-07-20,Finland awarded 1940 Olympic games after Japan withdraws,1,JP
1938-09-03,1940 Olympic site changed from Tokyo Japan to Helsinki Finland,1,JP
1938-09-27,League of Nations declares Japan the aggressor against China,1,JP
1938-10-21,Japanese troops occupies Canton,1,JP
1938-10-25,Japanese troops occupies Hankou & Wuhan,1,JP
1939-03-01,"Japanese Imperial Army ammunition dump exploded at Hirakata, Osaka, Japan, killing 94.",1,JP
1939-03-17,Sino-Japanese War (1937-1945): The Battle of Nanchang between the Kuomintang and the Japanese breaks out.,1,JP
1939-08-20,Russian offensive under General Zjoekov against Japanese invasion in Mongolia,1,JP
1939-08-30,Isoroku Yamamoto appointed supreme commander of Japanese fleet,1,JP
1939-08-31,Japanese invasion army driven out of Mongolia,1,JP
1940-04-22,Rear Adm Joseph Taussig testifies before US Senate Naval Affairs Committee that war with Japan is inevitable,1,JP
1940-09-26,Japanese troops attack French Indo-China,1,JP
1940-09-27,"Nazi Germany, Italy & Japan sign 10 year formal alliance (Axis)",1,JP
1940-10-24,"Japan eliminates US terms (strike, play ball) from baseball",1,JP
1941-01-27,Peruvian agent Rivera-Schreiber warns of Japanese assault on Pearl Harbor,1,JP
1941-04-13,Pact of neutrality between the USSR and Japan is signed.,1,JP
1941-07-24,FDR demands Japanese troops out of Indo-China,1,JP
1941-07-25,FDR bans selling benzine/gasoline to Japan,1,JP
1941-07-26,US embargo on oil-export to Japan,1,JP
1941-07-27,Japanese forces land in Indo-China,1,JP
1941-10-15,Japan Tojo regime forms,1,JP
1941-10-27,Chicago Daily Tribune editorialize there will not be war with Japan,1,JP
1941-11-01,Japanese marine staff officiers Suzuki/Maejima arrive in Pearl Harbor,1,JP
1941-11-05,Japanese marine staff officiers Suzuki/Maejima leave Pearl Harbor,1,JP
1941-11-06,Japanese fleet readies assault on Pearl Harbor,1,JP
1941-11-20,Adm Nomura & Kurusu hands over Japanese last diplomatic note,1,JP
1941-11-26,Japanese naval carrier force left its base & moves east toward Pearl Harbor,1,JP
1941-11-30,Japanese Emperor Hirohito consults with admirals Shimada & Nagano,1,JP
1941-12-01,Japanese emperor Hirohito signs declaration of war,1,JP
1941-12-02,US Naval Intelligence ceases bugging Japanese consul,1,JP
1941-12-06,Dutch & British pilots see Japanese invasion fleet at Singapore,1,JP
1941-12-07,"Imperial Japanese Navy with 353 planes attack US fleet at Pearl Harbour Naval Base, Hawaii, killing 2403 people",1,JP
1941-12-08,London: Dutch government-in-exile declares war on Japan,1,JP
1941-12-08,"US & Britain declare war on Japan, US enters WW II",1,JP
1941-12-09,"China declares war on Japan, Germany & Italy",1,JP
1941-12-10,Japanese troops landed on northern Luzon in the Philippines,1,JP
1941-12-10,Japanese troops overrun Guam,1,JP
1941-12-11,Japanese attack Wake Island (only failed WW II-landing),1,JP
1941-12-11,Japanese occupy Guam,1,JP
1941-12-15,USS Swordfish becomes 1st US sub to sink a Japanese ship,1,JP
1941-12-16,Sarawak occupied by Japanese,1,JP
1941-12-18,Japanse troops land on Hong Kong,1,JP
1941-12-20,Japanese troops lands on Mindanao,1,JP
1941-12-22,"Japans invasion leader lands on Luzon, Philippines",1,JP
1941-12-23,American forces on Wake Island surrender to Japanese,1,JP
1941-12-23,"Japan begins assault on Rangoon, Burma",1,JP
1941-12-24,First ships of admiral Nagumo's Pearl Harbor fleet return to Japan,1,JP
1941-12-25,Japan announces surrender of British-Canadian garrison at Hong Kong,1,JP
1941-12-25,"Japanese aircraft carriers Akagi/Kagu back in Kure, Japan",1,JP
1941-12-27,"Japan bombs Manila even though it was declared an ""open city""",1,JP
1942-01-01,"Bowl football match played in North Carolina due to Japanese threat Oregon State 20, Duke University 16",1,JP
1942-01-02,Japanese troops occupy Manila Philippines,1,JP
1942-01-10,"Japan invades North-Celebes, Neth Indies",1,JP
1942-01-11,"Japan conquers Kuala Lumpur, Malaya",1,JP
1942-01-14,Japanese troops land at oil center Balikpapan in Borneo,1,JP
1942-01-19,Japanese forces invade Burma,1,JP
1942-01-20,"Japanese air raid on Rabaul, New Britain",1,JP
1942-01-20,Japanese invade Burma,1,JP
1942-01-21,"Japanese air raid on Rabaul, New Britain",1,JP
1942-01-22,"Japanese air raid on Rabaul, New Britain",1,JP
1942-01-23,Japanese troops occupy Rabaul New Britain,1,JP
1942-01-30,Japanese troops land on Ambon,1,JP
1942-02-02,LA Times urges security measures against Japanese-Americans,1,JP
1942-02-03,1st Japanese air raid on Java,1,JP
1942-02-08,Japanese armored barges cross Strait of Johore to attack Singapore (WWII),1,JP
1942-02-08,"Congress advises FDR that, Americans of Japanese descent should be locked up en masse so they wouldn't oppose the US war effort",1,JP
1942-02-09,"Japanese troops land near Makassar, South Celebes",1,JP
1942-02-14,"Japanese parachutists land near oil center Palembang, Sumatra",1,JP
1942-02-15,"Japanese troops march into Palembang, South Sumatra",1,JP
1942-02-15,WWII: British ruled Singapore surrenders to the Japanese,1,JP
1942-02-18,Japanese troop land on Bali,1,JP
1942-02-19,About 150 Japanese warplanes attack the Australian city of Darwin,1,JP
1942-02-19,FDR orders detention & internment of all west-coast Japanese-Americans,1,JP
1942-02-19,Japanese troops land on Timor,1,JP
1942-02-20,"Lt E H O'Hare single-handedly shoots down 5 Japanese heavy bombers, becomes America's first World War II flying ace",1,JP
1942-02-23,"Japanese submarine fires on oil refinery in Ellwood, Calif",1,JP
1942-02-27,Battle of Java Sea began: 13 US warships sunk-2 Japanese,1,JP
1942-02-28,"Japanese land in Java, last Allied bastion in Dutch East Indies",1,JP
1942-03-01,Japanese troops occupy Kalidjati airport in Java,1,JP
1942-03-05,Japanese troop march into Batavia,1,JP
1942-03-08,Japanese forces captures Rangoon Burma,1,JP
1942-03-08,"KNIL, Dutch colonial army on Java, surrenders to Japanese armies",1,JP
1942-03-11,Japanese troop land on North Sumatra,1,JP
1942-03-23,Japanese forces occupy Andaman Islands in Indian Ocean,1,JP
1942-03-23,US move native-born of Japanese ancestry into detention centers,1,JP
1942-03-27,"Japan forces Java to use ""Tokyo time"" 1½ hour forward",1,JP
1942-04-12,Japan kills about 400 Filipino officers in Bataan,1,JP
1942-04-16,Japanese occupying army on Java installs film censorship,1,JP
1942-04-18,James Doolittle bombs Tokyo & other Japanese cities,1,JP
1942-04-29,"Japanese troop march into Lashio, cut off Burma Road",1,JP
1942-05-02,Japanese troops occupy Mandalay Burma,1,JP
1942-05-03,"Japanese troop attack Tulagi, Gavutu & Tanambogo, Solomon Islands during WWII",1,JP
1942-05-06,Corregidor & Philippines surrender to Japanese Armies,1,JP
1942-05-07,Battle of Coral Sea ends stopping Japanese expansion,1,JP
1942-05-08,Aircraft carrier USS Lexington sunk by Japanese air attack in Coral Sea,1,JP
1942-05-11,Japanese troops conquer Kalewa,1,JP
1942-05-22,Mexico declares war on Nazi-Germany & Japan,1,JP
1942-06-06,"Japanese forces retreat, ending Battle of Midway",1,JP
1942-06-06,"Japanese troop land on Kiska, Aleutians",1,JP
1942-06-07,Battle of Midway ends: Adm Nimitz wins 1st WW II naval defeat of Japan,1,JP
1942-06-07,"Japanese troops lands on Attu, Aleutian Islands",1,JP
1942-06-22,"Japanese submarine in mouth of Columbia River, Oregon",1,JP
1942-08-22,"Brazil declares war on Germany, Japan & Italy",1,JP
1942-08-26,"Japanse troops lands on New-Guinea, Milne Bay",1,JP
1942-08-27,"Cuba declares war on Germany, Japan & Italy",1,JP
1942-09-01,US Federal judge upholds detention of Japanese-Americans,1,JP
1942-09-13,Battle of Edson's Ridge (2nd Japanese assault) at Guadalcanal,1,JP
1942-09-14,Battle of Edson's Ridge (Japanese assault) at Guadalcanal,1,JP
1942-09-16,Japanese attack on Port Moresby repelled,1,JP
1942-10-12,US navy defeats Japanese in WW II Battle of Cape Esperance,1,JP
1942-10-14,"Japanese battleship strikes Henderson Field, Guadalcanal",1,JP
1942-11-11,Lt-general Kumakashi Harada becomes Japanese commander on Java,1,JP
1942-11-14,-Nov 15th) Japanese/US sea battle at Savo-Island in Guadalcanal),1,JP
1942-11-23,"Japans bombing of Port Darwin, Australia",1,JP
1942-12-20,1st Japanese bombing of Calcutta,1,JP
1942-12-27,1st Japanese women camp (Ambarawa) goes into use,1,JP
1943-01-09,Japanese government in Java limits sale & use of motorcars,1,JP
1943-01-23,Japanese Mount Austen on Guadalcanal captured,1,JP
1943-01-31,Chile breaks off relations with Germany & Japan,1,JP
1943-02-09,"Japanese troops evacuate Guadalcanal, ends epic WWII battle on the Solomon Islands in the Pacific",1,JP
1943-03-03,Battle of the Bismarck Sea: Australian and American air forces devastate Japanese navy convoy,1,JP
1943-03-06,Sukarno asks for cooperation with Japanese occupiers,1,JP
1943-04-05,Japanese troops conquer Indin,1,JP
1943-05-14,"Sinking of the Australian Hospital Ship Centaur off the coast of Queensland, by a Japanese submarine.",1,JP
1943-05-19,Churchill pledges Britain's full support to US against Japan,1,JP
1943-05-25,"Trident conference in Washington, DC (operation plan '43 against Japan)",1,JP
1943-07-07,-10] Japanese premier Hideki Tojo visits Java,1,JP
1943-08-01,Japan declares Burma Independence under U Ba Maw,1,JP
1943-08-21,Japan leaves Aleutian Islands,1,JP
1943-08-31,Japanse occupiers intern Jewish Congregation of Sorabajo,1,JP
1943-10-02,"Japanse troops leave Kolombangara, Solomon Island",1,JP
1943-10-03,"Operations begin at PETA Java, defending (Japanese) fatherland",1,JP
1943-10-14,Japan declares Philippine Independence (premier/pres Jose Laurel),1,JP
1943-11-22,"FDR, Churchill & Chiang Kai-shek meet to discuss ways to defeat Japan",1,JP
1944-02-02,Allied troops 1st set foot on Japanese territory,1,JP
1944-02-14,Anti-Japanese revolt on Java,1,JP
1944-03-07,Japans begins offensive in Burma,1,JP
1944-04-01,"Japanese troops conquer Jessami, Eastern India",1,JP
1944-04-26,"1st B-29 attacked by Japanese fighters, one fighter shot down",1,JP
1944-05-27,Japanese advance in Hangkhou China,1,JP
1944-06-11,15 US aircraft carriers attack Japanese bases on Marianas,1,JP
1944-06-14,1st B-29 raid against mainland Japan,1,JP
1944-06-16,US bombs Kyushu Japan,1,JP
1944-06-19,Japanese troops conquer Changsha China,1,JP
1944-06-20,US attacks Japanese fleet in Philippines Sea,1,JP
1944-07-04,"1st Japanese kamikaze attack, US fleet near Iwo Jima",1,JP
1944-07-07,Heavy Japanese counter offensive on Saipan,1,JP
1944-07-08,Japanese kamakize attacks on US lines at Saipan,1,JP
1944-07-09,"In World War II, US troops secure Saipan as Japan fell",1,JP
1944-07-19,Japanese aircraft carriers Taiho/Shokaku sinks in Marianas,1,JP
1944-07-20,Japanese aircraft carrier Hijo sunk by US air attack,1,JP
1944-07-20,US invades Japanese-occupied Guam,1,JP
1944-07-21,General Koiso becomes premier of Japan,1,JP
1944-07-21,US forces land on Guam to get rid of Japanese invaders,1,JP
1944-07-23,US forces invade Japanese-held Tinian in WW II,1,JP
1944-07-25,-26] Japanse banzai-attack on Guam,1,JP
1944-07-26,Japanese suicide attack on US lines in Guam,1,JP
1944-07-27,US regains possession of Guam from Japanese,1,JP
1944-08-10,US recaptures Guam from Japanese,1,JP
1944-08-19,Last Japanese troops driven out of India,1,JP
1944-10-25,Battle at Cape Engano: 4 Japanese ships sink,1,JP
1944-10-25,Battle in Straits of Surigao: Japanese fleet destroyed,1,JP
1944-11-20,"1st Japanse suicide submarine attack (Ulithi Atol, Carolines)",1,JP
1944-12-13,"Japanese kamikaze crashes into US cruiser Nashville, kills 138",1,JP
1944-12-22,Sub Swordfish departs Pearl Harbor for Japan,1,JP
1944-12-31,Japanese army evacuates harbor city Akyab,1,JP
1945-01-25,Japanese occupiers of Batavia arrest Indo-European youths,1,JP
1945-02-19,"980 Japanese soldiers reportedly killed by crocodiles in 2 days on Ramree Island, Burma",1,JP
1945-02-19,"US 5th Fleet launches invasion of Iwo Jima against the Japanese with 30,000 US Marines",1,JP
1945-02-24,Manila freed from Japanese,1,JP
1945-03-09,"Japanese proclaim ""independence"" of Indo-China",1,JP
1945-03-10,Japan declares Vietnam Independence,1,JP
1945-03-19,800 killed as Kamikaze attacked USS Franklin off Japan,1,JP
1945-03-21,1st Japanese flying bombs (ochas) attack Okinawa,1,JP
1945-03-26,"Iwo Jima occupied, after 18,000 Japanese & 6,000 Americans killed",1,JP
1945-03-27,"World War II: Operation Starvation, the aerial mining of Japan's ports and waterways begins.",1,JP
1945-04-06,Japanese giant battleship Yamato heads to Okinawa,1,JP
1945-04-07,US planes intercept Japanese fleet heading for Okinawa on a suicide superbattleship Yamato & four destroyers were sunk,1,JP
1945-04-19,US aircraft carrier Franklin heavy damaged in Japanese air raid,1,JP
1945-04-29,Japanese army evacuates Rangoon,1,JP
1945-05-10,Allies capture Rangoon from the Japanese,1,JP
1945-06-21,US defeat Japanese forces on Okinawa during WW II,1,JP
1945-06-23,Last organized Japanese defiance broken (Tarakan),1,JP
1945-07-14,Battleship USS South Dakota is 1st US ship to bombard Japan,1,JP
1945-07-26,"Declaration of Potsdam: US, Britain and China demand the Japanese surrender during WWII",1,JP
1945-07-26,Japanese government disregards US ultimatum,1,JP
1945-07-28,Japanese premier Suzuki disregards US ultimatum to surrender,1,JP
1945-07-29,"After delivering the Atomic Bomb across the Pacific, the cruiser USS Indianapolis is torpedoed & sunk by a Japanese submarine",1,JP
1945-08-01,Japanese city Toyama destroyed by B-29's,1,JP
1945-08-08,USSR declares war against Japan in WW II,1,JP
1945-08-09,"US drops 2nd atomic bomb ""Fat Man"" on Japan destroys part of Nagasaki",1,JP
1945-08-10,Japan announces willingness to surrender to Allies provided status of Emperor Hirohito remained unchanged,1,JP
1945-08-11,Allies refuse Japan's surrender offer to retain Emperor Hirohito,1,JP
1945-08-26,Japanese diplomats board USS Missouri to receive instructions on Japan's surrender at the end of WW II,1,JP
1945-08-27,US troops land in Japan after Japanese surrender,1,JP
1945-08-29,British liberate Hong Kong from Japan,1,JP
1945-08-29,Gen MacArthur named Supreme Commander of Allied Powers in Japan,1,JP
1945-08-30,Gen MacArthur lands in Japan,1,JP
1945-08-30,Hong Kong liberated from Japanese,1,JP
1945-09-01,"Japan surrenders ending WW II (US date, 2nd September in Japan)",1,JP
1945-09-03,Japanese forces in Philippines surrender to Allies,1,JP
1945-09-04,US regains possession of Wake Island from Japan,1,JP
1945-09-07,Japanese at Rioekioe-islands surrender,1,JP
1945-09-08,US invades Japanese-held Korea,1,JP
1945-09-08,"Hideki Tojo, Japanese PM during most of WW II, attempts suicide rather than face war crimes tribunal attempt fails, later he is hanged",1,JP
1945-09-09,"Japanese in South Korea, Taiwan, China, Indochina surrender to Allies",1,JP
1945-10-25,Japanese surrender Taiwan to Gen Chiang Kai-shek,1,JP
1946-01-01,Emperor Hirohito of Japan announces he is not a god,1,JP
1946-04-10,1st election for Japanese Diet,1,JP
1946-06-03,International Military Tribunal opens in Tokyo against 28 Japanese war criminals,1,JP
1946-11-03,Emperor Hirohito proclaims new Japanese constitution,1,JP
1946-12-21,"Earthquake in South Japan, kills 1,086",1,JP
1947-05-03,New post-war Japanese constitution goes into effect.,1,JP
1947-05-07,General MacArthur approves Japanese constitution,1,JP
1947-08-04,The Supreme Court of Japan is established.,1,JP
1948-11-12,Japanese premier Hideki Tojo sentenced to death by war crimes tribunal,1,JP
1950-07-02,"Kinkaku-ji in Kyoto, Japan, burns down.",1,JP
1950-07-12,"ILTF re-admit Germany & Japan in Davis Cup, Poland & Hungary withdraws",1,JP
1950-08-23,West Germany & Japan readmitted to Intl Amateur Athletic Federation,1,JP
1950-08-29,International Olympic Committee votes to admit West Germany & Japan in 1952,1,JP
1950-09-04,"Heavy typhoon strikes Japan, kills about 250",1,JP
1951-03-20,"Fujiyoshida, a city located in Yamanashi Prefecture, Japan, in the center of the Japanese main island of Honshū is founded.",1,JP
1951-04-19,55th Boston Marathon won by Shigeki Tanaka of Japan in 2:27:45,1,JP
1951-07-31,Japan Airlines is established.,1,JP
1951-09-04,US President Harry Truman addresses opening of Japanese Peace Treaty Conference,1,JP
1951-09-08,Japan signs peace treaty with 48 countries (SF),1,JP
1951-11-13,"Lefty O'Doul's all-stars, including Joe DiMaggio & Billy Martin, lose 3-1 to Pacific League all-star team (Japan)",1,JP
1952-03-20,Final ratification of peace treaty restoring sovereignty to Japan by US Senate,1,JP
1952-04-28,St Louis Browns lend 2 black minor leaguers to Hankyu Braves of Japan,1,JP
1952-06-12,USSR declares peace treaty with Japan invalid,1,JP
1952-10-01,Liberal Party wins Japanese elections,1,JP
1953-04-20,57th Boston Marathon won by Keizo Yamada of Japan in 2:18:51,1,JP
1953-07-30,Rikidōzan holds a ceremony announcing the establishment of the Japan Pro Wrestling Alliance.,1,JP
1953-08-23,Braves Phil Paine is 1st former major leaguer to play in Japan,1,JP
1953-09-27,Typhoon destroys 1/3 of Nagoya Japan,1,JP
1953-11-10,"Giants end their tour of Japan (players got $331 of $3,000 promised)",1,JP
1953-11-25,"Earthquake and tsnunami strike Honshu, Japan",1,JP
1954-09-26,"Japanese ferry boat Toya Maru sinks in Strait of Tsugaru, 1172 die",1,JP
1954-09-26,"Typhoon hits Japan 5 ferryboats sink killing about 1,600",1,JP
1954-11-07,US spy plane shot down North of Japan,1,JP
1954-12-07,Japanese government of Joshida resigns,1,JP
1955-03-18,I Hatojama recognized as premier of Japan,1,JP
1955-04-19,59th Boston Marathon won by Hideo Hamamura of Japan in 2:18:22,1,JP
1955-08-07,"Tokyo Telecommunications Engineering, the precursor to Sony, begins selling its first transistor radios in Japan.",1,JP
1955-10-20,Yanks begin 16-game exhibition in Japan,1,JP
1956-01-01,"A new year event causes panic and stampedes at Yahiko Shrine, Yahiko, central Niigata, Japan, killing at least 124 people.",1,JP
1956-05-01,"A doctor in Japan reports an ""epidemic of an unknown disease of the central nervous system"", marking the official discovery of Minamata disease.",1,JP
1956-12-18,Japan admitted to UN,1,JP
1957-07-28,"Heavy rain and a mudslide in Isahaya, western Kyūshū, Japan, kill 992.",1,JP
1957-12-09,1st Japanese ambassador to Israel,1,JP
1958-01-26,"Japanese ferry Nankai Maru capsized off southern Awaji Island, Japan, 167 killed.",1,JP
1959-05-20,Japanese-Americans regain their citizenship,1,JP
1959-06-22,Shunryu Suzuki completes his historical Japan to SF voyage,1,JP
