Date,Text
"1912","Jan 1, Kim Philby was born in India. He became a ringleader of a group of upper crust Englishmen who entered public service or, in many cases, the British Secret Service, then spied for the Soviets. Philby got away and spent his last years in Moscow. Jan 16, British explorer Robert Falcon Scott wrote in his diary after reaching the South Pole on January 16, 1912, ""Great God this is an awful place and terrible enough for us to have labored to it without the reward of priority."" Robert Scott, attempting to lead the first exploration party to the South Pole, wrote the passage after finding the black flag of Norwegian explorer Roald Amundsen. Thoroughly demoralized, the five members of the Scott party died during their 800-mile trek back to their base camp. [see Jan 18]Jan 18, The expedition of British Royal Navy Captain Robert Falcon Scott intended to be the first to reach the South Pole, but when they arrived they found a letter from Norwegian explorer Roald Amundsen, who had been there over a month earlier. Scott and his group had set out from a camp in Antarctica 81 days earlier, and on their way back, their supplies ran out. Scott wrote in a diary during the trek, which a search party discovered with the team's frozen bodies in November. Part of Scott's March 29 entry reads, ""We shall stick it out to the end, but we are getting weaker, of course, and the end cannot be far."" The team had made it to within 11 miles of the camp. Scott's diary ended with, ""Last Entry: For God's sake look after our people."" [see Jan 16]Jan 30, The British House of Lords opposed the House of Commons by rejecting home rule for Ireland. Feb 26, Coal miners struck in England. They settled on 03/01.Mar 27, James Callaghan , British prime minister , was born in Portsmouth, England. Mar 29, Capt. Robert F. Scott, British pole explorer, storm-bound in a tent near South Pole, made a last entry in his diary: ""the end cannot be far.""Apr 2, Titanic underwent sea trials under its own power. Apr 10, The 66,000 ton RMS Titanic left port from Southampton, England, on its ill-fated maiden voyage with 2,223 people. Apr 13, Royal Flying Corps formed .Apr 15, At 2:20 a. m., two hours and 40 minutes after impact, the luxury liner RMS Titanic sank in the North Atlantic Ocean off Newfoundland with the loss of about 1,522 lives. About 1,500 [1517] people died. Because there were lifeboats for only half those on board, only 705 passengers and crew survived the disaster. Among the survivors was J. Bruce Ismay, president of the White Star Line, who telegraphed his New York office, ""Deeply regret advise you Titanic sank this morning after collision with iceberg, resulting in serious loss of life. Full particulars later."" Nearly a third of the passengers died. The ship’s band played the waltz “Songe d’Automne"" as it sank. The accident killed 1,523 [1503] people and 705 survived. By 1996 only 8 were still alive. Nearly 60% of the first-class passengers survived. There were 214 staff members of the 685 survivors. It was later discovered that Harland & Wolff, the ship’s builder, had used a lower quality rivet on the ship that likely contributed to the rapid sinking. The last night on the ship was described by Rick Archbold and Dana McCauley in their book: “Last Dinner on the Titanic."" The steamer Carpathia rescued 705 of the 2,358 people onboard. Prof. Steven Biel of Brandeis Univ. wrote “A Cultural History of the Titanic"" in 1997. Apr 28, Odette Hallowes, British secret agent in France, was born. She was later captured and tortured by the Gestapo. May 13,  The Royal Flying Corps was established in England. It was the predecessor of the Royal Air Force. Jun 23, Alan M. Turing , English mathematician and pioneer of computer theory, was born. He cracked the Enigma code in World War II that was used by the Germans to communicate with their submarines. A play by Hugh Whitemore titled ""Breaking the Code,"" tells his story. It was shown as a TV film on Masterpiece Theater in 1997.Jul 15, British National Health Insurance Act went into effect. Aug 10, Leonard Woolf , English man of letters, married writer Virginia Duckworth . Virginia Woolf committed suicide in 1941.Aug 20, William Booth, English minister, founder , died. Sep 1, Samuel Coleridge-Taylor , Afro-British composer, died. Sep 3, World's 1st cannery opened in England to supply food to the navy. Dec 18, In the famous Piltdown Man Forgery amateur archaeologist Charles Dawson announced the discovery of two skulls from the Piltdown Quarry in Sussex, England. They appeared to belong to a primitive hominid and ancestor of man. Also found was a canine tooth, a tool carved from an elephant's tusk, and fossil teeth from a number of prehistoric animals. Dawson enlisted the help of vertebrate paleontologist Arthur Smith Woodward. They christened it Eoanthropus dawsoni and on this day they announced their find to the Geological Society of London. A 1996 book ""Unraveling Piltdown"" by John Evangelist Walsh labeled Dawson as the perpetrator of the hoax. The missing link was later determined to be only 600 years old. The fossils had been doctored to look and test to be older. In 2012 Miles Russell authored “The Piltdown Man Hoax: Case Closed."" [see 1908, 1913, 1953, 1955 & 1983]The British Royal Navy E-class submarine entered service. Workmen in London, England stumbled on the stock of a 17th century goldsmith when they broke through the wooden floor of a building in Cheapside. The whole lot was purchased by the London Museum. In 2013 the complete Cheapside Hoard was put on display. "
"1912","Mar 27, The first cherry blossom trees, a gift from Japan, were planted in Washington, D. C. First Lady Helen Herron Taft and the Viscountess Chinda, wife of the Japanese ambassador, planted two Yoshina cherry trees on the northern bank of the Potomac Tidal Basin, near the Jefferson Memorial. The event was held in celebration of a gift, by the Japanese government, of 3,020 trees to the US government for planting along Washington's Potomac River. Jul 30, Emperor Meiji died. Under Meiji the country had moved from a preindustrial state to a leading modern power. His son Yoshihito followed his father to the throne. With him the Meiji era ended officially and the Taisho era began. Sep 28, The SS Kichemaru disappeared in a storm off the Japanese coast and 1,000 died. The Sumitomo Bank was founded."
"1912","Mar 4, The French council of war unanimously voted a mandatory three-year military service. Mar 7, French aviator, Heri Seimet flew non-stop from London to Paris in three hours. Mar 30, The Treaty of Fez was signed. Sultan Abdelhafid made Morocco a French protectorate, resolving the Agadir Crisis of July 1, 1911.Apr 21, Marcel Camus, French film director , was born. Jul 25, The Comoros were proclaimed to be French colonies. Aug 13, Jules E. F. Massenet , French opera composer ,  died. Apr 29, Henri Poincare , French mathematician, astronomer, philosopher, died. He investigated the idea of space and led to the notion that space is too complex for mathematics. In 2002 Russian mathematician Grigory Perelman solved the 1904 Poincare Conjecture. In 2007 Donal O’Shea authored “The Poincare Conjecture.""Sep 7, French aviator Roland Garros set an altitude record of 13,200 feet. Sep 10, In France J. Vedrines became the first pilot to break 100 m. p.h. barrier. Nov 3, The first all metal plane was flown near Issy, France, by pilots Ponche and Prinard. Nov 24, Austria denounced Serbian gains in the Balkans; Russia and France backed Serbia while Italy and Germany backed Austria. Valentine de Saint-Point , French artist, authored “Manifesto of Futurist Woman.""The Archbishop of Paris stated that ""Christians must not tango.""Helena Rubinstein, following her success in Australia and London opened a beauty salon in Paris. The 1st neon sign illuminated the Palais Coiffeur, a Parisian beauty shop. The Saint Nicholas Cathedral in Nice, with its two pointed spires and five crucifix-topped onion-shaped domes, was built under Nicholas II, nearly 50 years after his grandfather, Alexander II, bought the land it sits on. France chose Casablanca as the capital of its “protectorate"" over Morocco."
"1912","The Royal Flying Corps (later the Royal Air Force) is founded in Britain. Albert Schweizer, a German medical missionary, opens a hospital in Lambarene in the French Congo. The beginning of the Taisho period in Japan. A French protectorate is established in Morocco. The British liner Titanic sinks with the loss of 1,513 people. "
"1912-1926"," The Taisho Period was named after the reign of Emperor Taisho, the father of Hirohito."
"1912-1956","The French ruled Morocco."
"1913","Aug 16, Menachem Begin, Israeli statesman  and Nobel Peace Prize  recipient, was born. In 2007 Amy Dockser Marcus authored “Jerusalem 1913, The Origins of the Arab-Israeli Conflict,"" in which she asserted that choices were made in this year that led to the current stand."
"1913","Jan 21, Aristide Briand formed a French government. Feb 18, Marcel Duchamp’s painting ""Nude Descending a Staircase"" was displayed at the Armory Show in NYC. Apr 14, Jean Fournet, French conductor, was born. May 29, The premier of the ballet Le Sacre du Printemps  by Igor Stravinsky and Vaslav Nijinsky in Paris caused rioting in the theater. The orchestra was led by Pierre Monteux and décor was by Nikolai Roerich. Aug 20, 700 feet above Buc, France, parachutist Adolphe Pegond becomes the first person to jump from an airplane and land safely. Sep 21, The 1st aerobatic maneuver, a sustained inverted flight, was performed in France. Nov 7, Albert Camus , French philosopher, novelist, and dramatist best known for his book ""The Stranger""  was born on an Algerian farm. Nov 28, Heavyweight Jack Johnson KO’d Andre Spaul in Paris. Henri Fournier  authored “Le Grand Meaulnes"" under the pen name Alain-Fournier. It became one of France’s most popular novels. The avant-garde of pre-WW I Paris was chronicled in 1958 by Roger Shattuck’s ""The Banquet Years.""Camille Flammarion, astronomer, proposed a sundial for the Place de la Concorde. [see June 21, 1999]"
"1913","Jan 28, Pleasance Pendred, an active member of the Women’s Social and Political Union , was arrested for taking part in a window breaking campaign mainly targeting government offices around Westminster. Her pamphlet “Why Women Teachers Break Windows"" was first published circa 1912 by the Woman’s Press. The Women's Social and Political Union  had recently declared all out war against public and private property in the United Kingdom. An orgy of vandalism followed. Jan 31, The British House of Lords rejected a bill tabled by the Liberal government and passed by the House of Commons on January 16 proposing home rule for Ireland. One peer said that home rule would make the Irish ""a menace in war and a disturbing influence in peace.""Apr 3, British suffragette Emily Pankhurst was sentenced to 3 years in jail. She protested with hunger strikes and was released and re-arrested 9 times over a period of 18 months under the Temporary Discharge of Prisoners for Ill-Health Act. Apr, The British Parliament passed the Temporary Discharge of Prisoners for Ill-Health Act. It made legal the hunger strikes that Suffragettes were undertaking at the time and stated that they would be released from prison as soon as they became ill. May 6, Stewart Granger, [James Stewart], actor , was born in London. May 7, British House of Commons rejected women's right to vote. Jun 2, Barbara Pym , English novelist , was born. Jun 8, Emily Wilding Davison , a member of the Women's Social and Political Union , died from injuries 4 days earlier when she tried to block the path of a racehorse owned by King George V. See link for video of race. Jul 7, British House of Commons accepted Home-Rule Law. Jul 15, Hammond Innes, English novelist, was born. Sep 1, George Bernard Shaw’s ""Androcles and the Lion,"" premiered in London. Oct 14, An explosion in a coal mine in Cardiff, Wales, killed 439.Oct 17, Zeppelin LII exploded over London, killing 28.Nov 22, Benjamin Britten , English composer, pianist and conductor, was born.  The British Parliament passed the Temporary Discharge of Prisoners for Ill-Health Act. It made legal the hunger strikes that Suffragettes were undertaking at the time and stated that they would be released from prison as soon as they became ill. Arthur Bernstein, later named Sir Arthur Gilbert, was born in Golders Green, North London. His Gilbert Collection was donated to the Queen Mother in 2000 and installed at Somerset House. London stopped published archives of the Old Bailey as newspapers began publishing details of court cases. By 2008 the archives, going back to 1694, were digitized and made available on line. The British convoked a conference at Simla, India, to discuss the issue of Tibet's status. The conference was attended by representatives of the British Empire, the newly founded Republic of China, and the Tibetan government at Lhasa. London, England, had 65 electrical utilities using 49 different standards for their supply."
"1913-1927","Marcel Proust , French novelist wrote his 7-volume ""Remembrance of Things Past."" In 1998 it was turned into a comic book series."
"1914","4 August, Germany invades Belgium. Archduke Franz Ferdinand of Austria is assassinated by Bosnian student, Gavrilo Princip (left), triggering the outbreak of World War I in which Britain, France, Russia, Italy and the United States face the Central Powers, Germany, Austria-Hungary and Turkey. 5 to 9 September, the Battle of the Marne; the German advance on Paris is halted. 30 October to 24 November, the Battle of Ypres; Germany fails in its attempts to reach the Channel ports. 26 August, the Russians are defeated by Germany at the Battle of Tannenburg. "
"1914","Aug 11, Jews were expelled from Mitchenick, Poland. Dec 17, Jews were expelled from Tel Aviv by Turkish authorities. The Jewish Joint Distribution Committee, an int’l. relief organization, was formed to aid Palestinian Jews during WW I. "
"1914","Feb 25, John Tenniel , English illustrator, died. He is best remembered for his illustrations in Lewis Carroll's “Alice's Adventures in Wonderland"" and “Through the Looking-Glass.""Mar 1, H. Colijn, Dutch Minister of war, was named director of British Petroleum. Mar 10, Suffragettes in London damaged painter Rokeby's Venus of Velasquez. Apr 7, British House of Commons passed the Irish Home Rule Bill. Apr 9, The 1st full color film: ""World, Flesh & Devil"" was shown in London. May 6, British House of Lords rejected women suffrage. May 25, British House of Commons passed Irish Home Rule. Jul 20, Armed resistance against British rule began in Ulster. Jul 27, British troops invaded the streets of Dublin, Ireland, and began to disarm Irish rebels. Aug 2, Great Britain mobilized. Aug 4, Britain and Belgium declared war after German troops entered Belgium. The United States proclaimed its neutrality. Britain’s entry also committed its dominions of Australia, Canada, Newfoundland, New Zealand and South Africa. AS WWI started the financial press helped to cover up news of a run on the Bank of England. Aug 5, The British Expeditionary Force mobilized for World War I. Aug 13, The British purchased 3 fast cross-channel packets: Empress, Riviera and Engadine. The ships were converted into seaplane tenders for reconnaissance. Aug 12, Great Britain declared war on Austria-Hungary. Aug 19, The British Expeditionary Force  landed in France. Aug 28, Three German cruisers were sunk by ships of the Royal Navy in the Battle of Heligoland Bight, the first major naval battle of World War I. The Germans lost four ships and 1,000 sailors; British casualties were 33 killed. Aug, The British Flying Corps  was sent to France to support the British Expeditionary Corps. Aug, Sir Ernest Shackleton  left England on a voyage to Antarctica with a 27 man crew on the HMS Endurance. He planned to lead the ""Imperial Trans-Continental Expedition,"" a dog-sled party across the continent. Sep 3, The air defense of Great Britain was assigned to Royal Naval Air Service . Winston Churchill, the new first lord of the Admiralty, and the RNAS were assigned the task of stopping the Zeppelins. Sep 8, Pvt. Thomas Highgate  was the first British soldier in the war to be shot for desertion. He had become separated from his unit, but said he was trying to rejoin it when he was detained. In 2006 the British government prepared to pardon 305 men who were hauled before firing squads in World War I for desertion or cowardice after summary trials. Sep 18, The Irish Home Rule Bill became law, but was delayed until after World War I. The Government of Ireland Act became law. It was an act by the British government to take effect at the end of World War I. Sep 20, Kenneth More, English actor , was born. Sep 22, The RNAS attempted their first air attack on the Zeppelins at Dusseldorf and Cologne. There was little damage done. Sep 22, A German submarine sank 3 British ironclads, 1,459 died. The Aboukir, the Hogue, and the Cressy, were all sunk  in just over one hour.  This loss alerted the British  to the deadly effectiveness of the submarine, which had  been generally unrecognized up to that time. Oct 4, The first German Zeppelin raided London. Oct 8, The RNAS attempted another air attack on the Zeppelins at Dusseldorf and Cologne. The dirigible shed at Dusseldorf was destroyed. Oct 27, Dylan Thomas, British poet and author whose works included ""Portrait of the Artist as a Young Dog,"" was born in Swansea, Wales. Oct 27, The British battleship Audacious was sunk by a mine. Oct 29, Retired Admiral John Arbuthnot Fisher  accepted re-appointment as First Sea Lord. Oct 31, Great Britain and France declared war on Turkey. [see Nov 5]Nov 1, A German squadron engaged the British fleet under Adm. Craddock near Coronel Bay, Chile. The ships Good Hope and Monmouth were sunk and 1,600 men were lost including Adm. Craddock. Nov 2, Great Britain annexed Cyprus. Nov 5, The French and British declared war on Turkey. [see Oct 31]Nov 21, The RNAS attempted an air attack on the Zeppelins at Friedrichshafen. They succeeded in doing considerable damage. Nov 26, Battleship HMS Bulwark exploded at Sheerness Harbor, England, 788 died. Dec 8, The German cruisers Scharnhorst, Gneisenau, Nurnberg, and Leipzig were sunk by a British force under Adm. Sturdee in the Battle of the Falkland Islands. 1,800 German sailors were killed including Adm. Von Spee and his 2 sons. Over 2,500 lives were lost in a single day. Dec 25, The British Royal Navy Air Force attempted to bomb the German Zeppelin shed at Cuxhaven. Fog obscured the mission and the bombs were dropped on other sites, i. e. a seaplane base on Langeoog Island, the light cruisers Stralsund and Graudenz and the city of Wilhemshaven. An audacious British air attack on a Zeppelin base in northern Germany caught the Germans with their defenses down. British retailer Harrods opened its first overseas emporium in Buenos Aires, Argentina. The British Royal Navy's Grand Fleet moved to a new base in Scapa Flow, in Scotland’s Orkney Islands. They needed a safe place to take on a German Fleet based in the Baltic. An 840km stretch of frontier between China and India , in effect independent at this time, was settled by the governments of India and Tibet and named the McMahon Line after Sir Henry McMahon, creator of the border line. The conference in Simla placed Tawang inside the borders of India."
"1914","Jan, Mount Sakurajima erupted and left 58 people dead. Aug 23, The Emperor of Japan sided with the Allies and declared war on Germany in World War I. Nov 7, Japan attacked a German concession on Chinese peninsula of Shanghai. In western Japan the Takarazuka Revue, a female musical theater troupe, was founded. Japan occupied the Caroline Islands and received a League of Nations mandate over them in 1920."
"1914","Mar 4, Doctor Fillatre of Paris, France successfully separated Siamese twins. Mar 25, Frederic Mistral, French poet , died. Jul 31, Jean Jaures , French Socialist leader, was assassinated by French nationalist Raoul Villain .Aug 1, France and Germany mobilized. Aug 2, In Joncherey, northeastern France, French corporal Jules-Andre Peugeot and German lieutenant Albert Mayer died in a firefight, the first official casualties of World War I. Aug 2, German press falsely reported that French bombed Nuremberg. Aug 3, Germany invaded Belgium and declared war on France at the onset of World War I. The German plan for victory in France was known as the Schlieffen Plan, and was based on a quick strike and the capture of Paris. Aug 15, Lt. Charles de Gaulle  was injured during a German assault at Dinant. Aug 19, The British Expeditionary Force  landed in France. Aug 20, Battle at Morhange: German troops chased French, killing 1000s. Aug 20-24, Battle of Boundaries: Lorraine, Ardennen, Sambre & Meuse, Mons. Aug 22, Some 27,000 soldiers died in the bloodiest battle of French history. Aug 25, German troops marched into France and pushed the French army to the Sedan. Aug 26, The French government appointed Gen. Joseph Simon Gallieni  as military governor of Paris. He had been called out of retirement at the onset of war to serve in the Ministry of War in Paris. Aug 30, The 1st German plane bombed Paris and 2 people were killed. Aug, The British Flying Corps  was sent to France to support the British Expeditionary Corps. Aug, Alberto Santos-Dumont , Brazilian aviation pioneer, burned his aeronautical papers after French neighbors labeled him a German spy. Sep 3, The French capital was moved from Paris to Bordeaux as the Battle of the Marne began. The British expeditionary army under general Lanrezacs army attacked the Marne. French troops vacated Reims. Sep 4, General von Moltke ceased German advance in France. Sep 5, The First Battle of the Marne began during World War I. The German First Army was led by Gen. Alexander von Kluck. Sep 5, Charles Peguy , French poet and writer, died. ""It is impossible to write ancient history because we lack source materials, and impossible to write modern history because we have far too many.""Sep 6, In the Battle of Marne German forces bypassed Paris to chase retreating allied forces. French Gen. Gallieni orchestrated an attack using the British Expeditionary Force along with the French 3rd, 5th and 6th armies. Sep 7, In the Battle of Marne French Gen. Gallieni commandeered some 600 hundred Paris taxicabs to deliver overnight 6,000 men of the 3rd army to reinforce the 6th Army at the Battle of the Marne, which allowed the French army to hold. Sep 9, In the Battle of Marne the German advance stalled and a retreat began back to the Aisne River. Sep 12, The First Battle of the Marne ended in an Allied victory against Germany. The German advance into France was stopped. 20th century history turned on this pivotal event. Sep 15, The Battle of Aisne began between Germans and French during WW I. Sep 18, Battle of Aisne ended with Germans beating the French during WW I. Sep 24, In the Alsace-Lorraine area between France and Germany, the German Army captured St. Mihiel. Oct 12, The 1st battle at Ypres, France, began. Oct 31, Great Britain and France declared war on Turkey. [see Nov 5]Nov 5, The French and British declared war on Turkey. [see Oct 31]c1914Edith Wharton authored ""French Ways and Their Meaning."" She argue in the book for American Intervention in WW I. The bones of a Neanderthal baby were found in southwestern France and shipped to Paris for analysis. The 40,000 year-old ""Le Moustier 2"" bones were put away and re-discovered in 1996."
"1914-1916","Margot Asquith, the wife of British PM Herbert Asquith, kept a war diary. In 2014 a version edited by Michael and Eleanor Brock was published as “Margot Asquith’s Great War Diary: 1914-1916: The View from Downing Street."""
"1914-1918","The German campaign in East Africa was directed by General Paul Emil von Lettow-Vorbeck. German looting and raiding caused at least 300,000 civilian deaths. By attacking Northern Rhodesia they invaded British territory. Of 1 million porters recruited by the British, 95,000 died. In 2007 Edward Paice authored “Tip and Run: The Untold Tragedy of the Great War in Africa. In 2008 Edward Paice authored “World War I: The African Front."
"1914-1928","German and Austrian Jews born in this period collided with the Third Reich. In 2001 Walter Laqueur authored ""Generation Exodus,"" a study of what happened to many of them."
"1914-1940","In 2014 Frederick Brown authored “The Embrace of Unreason: France 1914-1940."""
"1914-1996","Masao Maruyama, prof. of political science at the Univ. of Tokyo . He formed the pillar of postwar anti-establishment thought."
"1915","5 January, Britain begins a naval blockade of Germany. 18 February, Germany begins a submarine blockade of Britain. Japan makes a number of demands threatening China’s sovereignty. The first all-metal fighter aircraft is built in Germany by Hugo Junkers. 22 April to 25 May, The Second Battle of Ypres; the first use of poison gas by Germany. 7 May, the sinking of the British liner Lusitania, with many civilian deaths. "
"1915","Feb 2, Abba Eban , Israeli statesman, was born in South Africa. He grew up in England, attaining honors at Cambridge University, where he honed his oratory as a leader of the university debating society. Mar 2, Vladmir Jabotinsky formed a Jewish military force to fight in Palestine. May 20, Moshe Dayan, Israeli general, minister of Defense, was born. Aug 17, Leo Frank, a Jewish factory manager, was lynched by a mob of anti-Semites in Cob County, Georgia. He had been convicted in the killing of Mary Phagan, a 13-year-old girl who worked at his pencil factory. The governor believed him innocent and commuted his death sentence in June. Frank was pardoned in 1986. In 2000 Stephen Goldfarb posted the names of some 2 dozen men believed to have participated in the murder."
