ID,year,text
60,1922,"Insulin first used on humans to treat diabetes, on Leonard Thompson, 14, of Canada"
61,1964,1st government report warning by US Surgeon General Luther Terry that smoking may be hazardous
62,1528,"Gustav I of Sweden ""father of the nation"" crowned King of Sweden. Rules 37 years"
63,1554,Bayinnaung is crowned King of Burma. He would go on to assemble the largest empire in the history of Southeast Asia
64,1872,"Yohannes IV is crowned Emperor of Ethiopia in Axum, the first imperial coronation in that city in over 200 years."
66,2010,"Earthquake occurs in Haiti killing approximately 160,000 and destroying the majority of the capital Port-au-Prince"
70,1970,"Colonel Odumegwu Ojukwu flees Biafra into exile, leaving his deputy Philip Effiong to surrender to the Nigerian army, unofficially ending the Nigerian Civil War"
71,2000,Microsoft chairman Bill Gates steps aside as chief executive and promotes company president Steve Ballmer to the position
72,1526,"Charles V and Francis I sign the Treaty of Madrid, forcing Francis to give up claims to Burgundy, Italy and Flanders"
75,1784,US Revolutionary War ends with the US Congress of the Confederation ratifying the Treaty of Paris
76,2011,"Tunisian president Ben Ali, flees to Saudi Arabia after popular protests known as the Jasmine Revolution"
82,1902,"Abdulaziz Ibn Saud leads 40 men over the walls of Riyadh and takes the city, marking the beginning of the Third Saudi State"
83,2001,Wikipedia a free Wiki or content encyclopedia is launched by Jimmy Wales and Larry Sanger
87,1793,French King Louis XVI sentenced to death by the National Convention during the French Revolution
88,1913,British House of Commons accepts Home Rule for Ireland (but the Great War gets in the way of it happening)
91,1873,"A group of Modoc warriors defeats the United States Army in the First Battle of the Stronghold, a part of the Modoc War."
92,1912,"Captain Robert Scott's expedition arrives at the South Pole, one month after Roald Amundsen"
93,1941,"Kuomintang forces under orders from Chiang Kai-shek open fire at communist forces, resuming the Chinese Civil War after World War II"
95,1991,"Operation Desert Storm begins, with US-led coalition forces bombing Iraq, during the Gulf War"
97,1591,"King Naresuan of Siam kills Crown Prince Minchit Sra of Burma in single combat, date is now observed as Royal Thai Armed Forces day"
98,1788,First elements of the First Fleet carrying 736 convicts from England to Australia arrives at Botany Bay to set up a penal colony
99,1817,José de San Martín leads a revolutionary army over the Andes to attack Spanish royalists in Chile
103,1812,"Peninsular War: After a ten day siege, Arthur Wellesley, 1st Duke of Wellington, orders British soldiers of the Light and third divisions to storm Ciudad Rodrigo"
104,1883,"The first electric lighting system employing overhead wires, built by Thomas Edison, begins service at Roselle, New Jersey"
107,1265,"First English Parliament summoned other than by royal command (in this instance by Simon de Montfort, Earl of Leicester) mets in Westminster Hall"
110,1942,"Nazi officials hold notorious Wannsee conference in Berlin to organise the ""final solution"", the extermination of Europe's Jews"
111,1945,Franklin D. Roosevelt sworn-in for an unprecedented (and never to be repeated) 4th term as US President
113,2009,"Barack Obama, inaugurated as the 44th President of the United States of America, becomes the United States' first African-American president"
114,1525,"The Swiss Anabaptist Movement is born when Conrad Grebel, Felix Manz, George Blaurock, and a dozen others baptize each other in the home of Manz's mother in Zürich, breaking a thousand-year tradition of church-state union"
115,1793,"Louis XVI of France is executed by the guillotine in Paris, following his conviction for high treason"
117,1968,The Battle of Khe Sanh - one of the most publicized and controversial battles of the Vietnam War - begins at the Khe Sanh Air Base
118,2008,"Black Monday in worldwide stock markets. FTSE 100 had its biggest ever one-day points fall, European stocks closed with their worst result since 9/11, and Asian stocks drop as much as 15%."
119,1689,"Prince William of Orange (future King William III of Britain), summons Convention Parliament to discuss ruling jointly with his wife Mary (daughter of exiled King James II)"
120,1879,"Battle of Rorke's Drift: British garrison of 150 holds off 3,000-4,000 Zulu warriors. Eleven Victoria Crosses and a number of other decorations were awarded to the defenders."
121,1905,"In St Petersburg, Russia, a large demonstration of workers led by Father Gapon, march to the Winter Palace with a petition to the Tsar; troops fire on protesters in what becomes known as 'Bloody Sunday'"
125,1368,"In a coronation ceremony, Zhu Yuanzhang ascends to the throne of China as the Hongwu Emperor, initiating Ming Dynasty rule over China that would last for three centuries."
126,1556,"Shaanxi Earthquake - deadliest ever recorded kills 830,000 in Shensi Province, China"
128,1973,US President Richard Nixon announces an accord has been reached to end Vietnam War
129,1978,"Sweden becomes the first nation in the world to ban aerosol sprays, believed to be damaging to earth's ozone layer."
131,1857,University of Calcutta founded as the first full-fledged university in South Asia
133,1908,"Lieutenant General Robert Baden-Powell publishes ""Scouting for Boys"" as a manual for self-instruction in outdoor skills and self-improvement. The book becomes the inspiration for the Scout Movement."
136,1565,Battle at Talikota India: Deccan sultanate destroy Vijayanagar's army and the last Hindu kingdom of Southern India
137,1840,American naval expedition under Charles Wilkes is first to identify Antarctica as a new continent
140,2011,"Egyptian Revolution of  begins with a series of street demonstrations, rallies, acts of civil disobedience, labor strikes and violent clashes in Cairo, Alexandria and other major cities"
143,1564,"The Council of Trent issued its conclusions in the Tridentinum, establishing a distinction between Roman Catholicism and Protestantism"
144,1788,"Captain Arthur Phillip and British colonists hoist the Union Flag at Sydney Cove, New South Wales, now celebrated as Australia Day"
145,1926,John Logie Baird gives the first public demonstration of television in his laboratory in London
146,1998,"President Bill Clinton says ""I want to say one thing to the American people; I did not have sexual relations with that woman, Miss Lewinsky"""
148,1825,"U.S. Congress approves Indian Territory (in what is present-day Oklahoma), clearing the way for forced relocation of the Eastern Indians on the ""Trail of Tears"""
149,1888,"The National Geographic Society is founded in Washington, D.C. for ""the increase and diffusion of geographic knowledge"""
153,1973,"US & North Vietnam's William Rogers & Nguyen Duy Trinh sign cease-fire, ending longest US war and military draft"
154,1521,"Emperor Charles V opens the Diet of Worms in Worms, Germany which lasts until May 25th. Produced the ""Edict of Worms"" which dennouced Martin Luther"
156,1813,"Jane Austen's ""Pride and Prejudice"" is published by Thomas Egerton in the United Kingdom"
158,1820,Russian expedition led by Fabian Gottlieb von Bellingshausen and Mikhail Lazarev discover the continent of Antarctica
159,1933,"The name ""Pakistan"" is coined by Choudhry Rahmat Ali and gradually accepted by Muslims in the Indian sub-continent who use it to push for a separate Muslim homeland in South Asia"
160,1595,"William Shakespeare's play ""Romeo and Juliet"" is thought to have been first performed. Officially published early 1597."
161,1886,"Karl Benz patents the ""Benz Patent-Motorwagen"" in Karlsruhe, Germany, the world's 1st automobile with a burning motor"
164,2002,"US President George W. Bush in his State of the Union address describes ""regimes that sponsor terror"" an ""Axis of Evil"", which includes Iraq, Iran and North Korea"
165,1661,"Oliver Cromwell, Lord Protector of the Commonwealth of England is ritually executed after having been dead for two years"
166,1815,"Burned US Library of Congress re-established with Thomas Jefferson's 6,500 volumes"
167,1902,"Britain and Japan sign a treaty after months of negotiating which commits each country to supporting an independent China and Korea, although it acknowledges Japan's 'special interest' in Korea"
168,1933,President Paul von Hindenburg appoints Adolf Hitler as Reich Chancellor of Germany who forms a government with Franz von Papen
169,1939,Hitler threatens the Jews during his speech to the German Reichstag (Parliament)
171,1965,State funeral of Winston Churchill at St Paul's Cathedral in London. Then world's largest ever state funeral.
172,1972,'Bloody Sunday': 27 unarmed civilians are shot (of whom 14 were killed) by the British Army during a civil rights march in Derry; this is the highest death toll from a single shooting incident during 'the Troubles'
173,1865,"Congress passes the 13th Amendment, abolishing slavery in America (passes 121-24)"
174,1865,General Robert E Lee named Commander-in-Chief of Confederate Armies during US Civil War
176,1950,US President Harry Truman publicly announces support for the development of a hydrogen bomb
177,1985,South African President PW Botha offers to free Nelson Mandela if he denounces violence
179,1848,"Treaty of Guadalupe Hidalgo ends the Mexican-American War: US acquires Texas, California, New Mexico and Arizona for $15 million"
180,1901,"Queen Victoria's funeral takes place in St. George's Chapel, Windsor Castle, England"
182,1943,German 6th Army surrenders after Battle of Stalingrad in a major turning point in Europe during World War II
185,1509,"The Battle of Diu, naval battle at port of Diu, India between Portugal and the Ottoman Empire, establishes Portugese trading control"
186,1870,US state of Iowa ratifies the 15th Amendment of the United States Constitution allowing suffrage for all races & colour
187,1928,"Paleoanthropologist Davidson Black reports his findings on the ancient human fossils found at Zhoukoudian, China in the journal Nature and declares them to be a new species he names 'Sinanthropus pekinensis' (now known as 'Homo erectus')"
191,1789,1st US electoral college chooses George Washington as President and John Adams as Vice-President
192,1844,"World's oldest known Bible, ""The Codex Sinaiticus"" (Sinai Bible), is discovered or stolen in Egypt by Constantin von Tischendorf"
195,1988,Panamanian General Manuel Noriega indicted by US federal grand jury for drug trafficking and racketeering
199,1885,King Leopold II of Belgium establishes the Congo as a personal colonial possession
200,1936,"""Modern Times"", silent film directed by, written by and starring Charlie Chaplin, is released"
202,1508,"Maximilian I proclaimed Holy Roman Emperor, 1st Emperor in centuries not to be crowned by the Pope"
205,1952,"Queen Elizabeth II succeeds King George VI to the British throne and proclaimed Queen of the United Kingdom and the other Commonwealth realms including Canada, Australia and New Zealand"
209,1842,"Battle of Debre Tabor: Ras Ali Alula, Regent of the Emperor of Ethiopia defeats warlord Wube Haile Maryam of Semien"
210,1856,The colonial Tasmanian Parliament passes the first piece of legislation (the Electoral Act of ) anywhere in the world providing for elections by way of a secret ballot.
212,1992,Maastricht Treaty signed by 12 countries from the European Community (EC) to create the European Union (EU)
214,1807,Battle of Eylau ends inconclusively between Napoleon's forces and Russian Empire - 1st battle Napoleon isn't victorious
215,1915,"""The Birth of a Nation"" the first 12-reel film in America, directed by D. W. Griffith, starring Lillian Gish and Mae Marsh, opens at Clune's Auditorium in Los Angeles"
216,1960,"Queen Elizabeth II of the United Kingdom issued an Order-in-Council, stating that she and her family would be known as the House of Windsor, and that her descendants will take the name ""Mountbatten-Windsor""."
217,1971,Nasdaq Composite stock market index debuts with 50 companies and a starting value of 100
220,1904,"Japanese land troops at Chemulpo (Inchon), near Seoul, Korea; within the next three weeks they will have advanced to the Yalu River, border of Manchuria"
221,1943,"Japanese troops evacuate Guadalcanal, ends epic WWII battle on the Solomon Islands in the Pacific"
222,1972,British government declares state of emergency after month-long coal miners' strike
224,1720,Edmond Halley appointed as the second Astronomer Royal at the Greenwich Observatory
228,1906,"British battleship HMS Dreadnought launches after only 100 days, renders all other capital ships obsolete with its revolutionary design"
229,1531,Henry VIII recognised as supreme head of Church in England following the schism with Rome
232,1975,Margaret Thatcher defeats Edward Heath for leadership of the British Conservative Party
234,2011,Egyptian Revolution culminates in the resignation of Hosni Mubarak and the transfer of power to the Supreme Military Council after 18 days of protests (Arab Spring)
235,1700,"The Great Northern War begins in Northern Europe between Denmark–Norway, Saxony and Russia and the Swedish Empire."
237,1947,"French fashion designer Christian Dior presents his first influential collection, named the ""New Look"""
239,2001,"NEAR Shoemaker spacecraft touchdown in the ""saddle"" region of 433 Eros becoming the first spacecraft to land on an asteroid."
240,2013,"North Korea allegedly conducts its third nuclear test, saying it was a nuclear device that could be weaponized"
242,1601,"1st British East India Company voyage departs from London, lead by John Lancaster"
243,1689,British Parliament adopts the Bill of Rights which establishes the rights of parliament and places limits on the crown
245,1945,"Allied planes begin bombing Dresden, Germany; a firestorm results and over 22,000 die"
249,1797,"The Battle of Cape St Vincent: British fleet under Admiral Sir John Jervis defeats larger Spanish fleet under Admiral Don José de Córdoba y Ramos near Cape St. Vincent, Portugal. Captain Horatio Nelson distinguishes himself."
250,1876,Alexander G. Bell & Elisha Gray apply separately for telephone patents Supreme Court eventually rules Bell rightful inventor
251,1929,"St Valentine's Day Massacre in Chicago, 7 gangsters killed, allegedly on Al Capone's orders"
255,1763,"Austria, Prussia & Saxony sign Treaty of Hubertusburg, marking the end of the French and Indian War and of the Seven Years War"
258,2003,An estimated 6-11 million people around the world take to the streets to protest against war with Iraq
261,1923,Howard Carter opens the inner burial chamber of the Pharaoh Tutankhamun's tomb and finds the sarcophagus
262,1959,Fidel Castro becomes the 16th Prime Minister of Cuba after overthrowing Fulgencio Batista
264,1568,Holy Roman Emperor Maximilian II agrees to pay tribute to the Ottoman Empire for peace
269,2017,"Discovery of a new mostly underwater continent Zealandia in the South Pacific announced in research journal ""GSA Today"""
270,1519,"Hernán Cortés leaves Cuba for the Yucatan Peninsula, Mexico with 11 ships and 500 men"
271,1678,"John Bunyan's ""Pilgrim's Progress"" is published in Holborn, London, by Nathaniel Ponder"
274,1917,"1st major strike of the Russian ""February Revolution"" starts at the giant Putilov factory in Petrograd [NS=Mar 3]"
275,2014,"Ukrainian Revolution of  begins as protesters, riot police and unknown shooters take part in violent events in the capital, Kiev, culminating after five days in the ouster of President Viktor Yanukovych"
277,1600,Peruvian stratovolcano Huaynaputina explodes in the most violent eruption in South American recorded history
281,1945,"US 5th Fleet launches invasion of Iwo Jima against the Japanese with 30,000 US Marines"
284,1873,"British Naval Officer John Moresby discovers the site of Port Moresby, Papua New Guinea and claims it for Britain"
285,1938,UK Foreign Secretary Anthony Eden resigns stating Prime Minister Neville Chamberlain has appeased Nazi Germany
286,1947,Earl Mountbatten of Burma appointed as last viceroy of India to oversee the move to independence
288,1613,"Michael Romanov, son of Patriarch of Moscow, elected first Russian Tsar of the house of Romanov"
289,1804,"1st locomotive, Richard Trevithick's, runs for the 1st time, along the tramway of the Penydarren Ironworks in Merthyr Tydfil, Wales"
290,1916,"World War I: Battle of Verdun begins, leads to an estimated 1 million casualties"
296,1967,"25,000 US & South Vietnamese troops launch Operation Junction City against Viet Cong. Largest US airborne assult since WWII"
299,1540,Francisco Vázquez de Coronado's expedition sets off from Mexico in search of the 7 cities of Cibola
300,1836,Alamo besieged for 13 days until March 6 by Mexican army under General Santa Anna; entire garrison eventually killed
302,1945,"US Marines raise American flag on top of Mt. Suribachi, Iwo Jima. Photo of which by Joe Rosenthall later became iconic, inspiring the Marine Corps War Memorial sculpture"
304,1998,Osama bin Laden publishes a fatwa declaring jihad against all Jews and Crusaders
306,1525,"Battle of Pavia: Holy Roman Emperor Charles V's troops beat the French. French King Francois I captured, 15,000 killed or wounded"
308,1739,"Battle of Karnal: Army of Iranian ruler Nadir Shah defeats the forces of the Mughal emperor of India, Muhammad Shah"
309,1821,"Agustín de Iturbide and Vicente Guerrero agree to the Plan of Iguala, stating that Mexico will become a constitutional monarchy, Roman Catholicism the official religion and that Peninsulares and Creoles will enjoy equal political and social rights"
312,2008,Fidel Castro retires as the President of Cuba due to ill health after nearly fifty years
313,1570,Pius V excommunicates Queen Elizabeth I of England and absolves her subjects from allegiance to the crown
317,1956,Nikita Khrushchev denounces Joseph Stalin at the 20th Congress of the Communist Party of the Soviet Union
318,1616,Roman Inquisition delivers injunction to Galileo demanding he abandon his belief in heliocentrism
320,1815,Napoleon Bonaparte and his supporters leave Elba to start a 100 day re-conquest of France
323,2005,"Hosni Mubarak, President of Egypt, orders the constitution changed to allow multi-candidate presidential elections, asking Egyptian parliament to amend Article 76"
324,1900,"In London, the Trades Union Congress and the Independent Labour Party (formed in 1893) meet, results in a Labour Representative Committee and eventually the modern Labour Party in 1906"
325,1940,"Martin Kamen and Sam Ruben discover carbon-14 (radiocarbon dating) at the University of California Radiation Laboratory in Berkeley, California"
327,1957,"Mao's famous speech to the Supreme State Conference ""On Correct Handling of Contradictions Among People"" expounding Maoist ideals"
329,2012,Wikileaks begins disclosing 5 million emails from private intelligence company Stratfor
331,1710,"In the Battle of Helsingborg, 14,000 Danish invaders under Jørgen Rantzau are decisively defeated by an equally sized Swedish force under Magnus Stenbock"
333,1915,"WWI: After the French try to drive the Germans forces back into the Champagne region, they gain a few hundred yards - at the cost of 50,000 casualties"
334,1947,"228 Incident: In Taiwan, civil disorder is put down with the loss of 30,000 civilian lives."
335,1953,Francis Crick and James Watson discover the chemical structure of DNA-molecule (double-helix polymer)
336,1991,Gulf War ends after Iraq accepts a ceasefire following their retreat from Kuwait
337,1692,"First people are accused of witchcraft in Salem Massachusetts - Sarah Good, Sarah Osborne and Tituba, a West Indian slave"
338,1904,"Theodore Roosevelt, appoints 7-man Panama Canal Commission to proceed with completing a canal at the Isthmus"
339,1940,"Hattie McDaniel becomes 1st African American woman to win an Oscar for ""Gone with the Wind"""
341,1984,Pierre Trudeau announces he is stepping down after 15 years as Canadian Prime Minister
344,1847,Michigan becomes 1st English-speaking jurisdiction to abolish the death penalty (except for treason against the state)
345,1869,"US Postage stamps showing scenes issued for 1st time. These pictorials showed post horse and rider, a locomotive, a shield an eagle, and a ship, the Adriatic"
347,1954,"US explodes Castle Bravo, 15 megaton hydrogen bomb at Bikini Atoll - most powerful nuclear device ever detonated by the US"
348,1791,Long-distance communication speeds up with the unveiling of a semaphore machine in Paris
350,1888,"The Convention of Constantinople signed, guaranteeing free maritime passage through the Suez Canal during war and peace"
354,2002,U.S. invasion of Afghanistan: US conventional forces first delpoyed as part of Operation Anaconda
357,1861,"Alexander II of Russia signs the Emancipation Manifesto, freeing serfs and granted them the full rights of free citizens [OS=Feb 19]"
359,1917,"1st major strike of the Russian ""February Revolution"" starts at the giant Putilov factory in Petrograd [OS=Feb 18]"
361,1939,Mahatma Gandhi begins a fast in Mumbai (Bombay) to protest against autocratic rule in India
362,1943,Battle of the Bismarck Sea: Australian and American air forces devastate Japanese navy convoy
363,1991,"Los Angeles police officers severely beat motorist Rodney King, the beating is famously captured on amateur video and later leads to riots when the police officers are acquitted"
364,1238,"Battle of the Sit River: Mongol forces of Batu Khan overcome Russians under Yuri II of Vladimir-Suzdal near Yaroslavl in Russia, ending Russian resistance"
368,1918,"First recorded case of Spanish flu at Funston Army Camp, Kanas; start of worldwide pandemic killing 50-100 million"
369,1933,"Franklin D. Roosevelt inaugurated as 32nd US President, pledges to pull US out of the Depression, ""We have nothing to fear but fear itself"""
371,2009,International Criminal Court issues an arrest warrant for Sudanese President Omar Hassan al-Bashir for war crimes and crimes against humanity in Darfur becoming the first sitting head of state to be indicted
373,1046,Persian scholar Naser Khosrow begins the 7 year Middle Eastern journey which he will later describe in his book Safarnama
374,1496,English King Henry VII grants John Cabot (Giovanni Caboto) a commission to explore for new lands
375,1770,"Boston Massacre (Incident on King Street): British soldiers kill 5 men in a crowd throwing snowballs, stones and sticks at them. African American Crispus Attucks 1st to die; later held up as early black martyr. Massacre galvanizes anti-British feelings."
376,1946,"Winston Churchill's ""Iron Curtain"" speech in Fulton, Missouri, popularizes the term and draws attention to the division of Europe"
377,1479,Treaty of Alcaçovas: Portugal gives the Canary Islands to Castile in exchange for claims in West Africa
378,1836,"Battle of the Alamo: After 13 days of fighting 1,500-3,000 Mexican soldiers overwhelm the Texan defenders, killing 182-257 Texans including William Travis, Jim Bowie and Davy Crockett"
381,1869,Dmitri Mendeleev presents the first periodic table of the elements to the Russian Chemical Society
382,1899,"""Aspirin"" (acetylsalicylic acid) patented by Felix Hoffmann at German company Bayer"
384,1530,"King Henry VIII's divorce request is denied by the Pope. Henry then declares that he, not the Pope, is supreme head of England's church."
389,1867,"British North America Act is passed in the House of Commons, serves as Canada's constitution for more than 100 years"
390,1917,"Russian ""February Revolution"" begins in earnest with protests celebrating International Woman's Day and riots in St Petersburg over food rations and conduct of the war [OS=Feb 23]"
391,1948,US Supreme Court rules in McCollum v. Board of Education that religious instruction in public schools is unconstitutional
392,1973,"The Provisional Irish Republican Army undertakes its first operation in Great Britain, planting four car bombs in London; 10 members of PIRA are arrested at Heathrow Airport while trying to leave the country"
393,2014,"Malaysia Airlines Flight 370 with 239 people loses contact and disappears, prompting the most expensive search effort in history"
395,1522,"Martin Luther begins preaching his ""Invocavit Sermons"" in the German city of Wittenberg, reminding citizens to trust God's word rather than violence and thus helping bring to a close the revolutionary stage of the Reformation"
399,1961,"Soviet flight Sputnik 9 carries and returns from orbit a dog named Chernushka (Blackie), frogs and a guinea pig"
401,1783,USS Alliance under Captain Barry fights and wins last naval battle of US Revolutionary War off Cape Canaveral
402,1861,"West African political leader El Hadj Umar Tall seizes the city of Segou, destroying the Bambara Empire of Mali"
403,1920,"Home Rule Act passed by the British Parliament, dividing Ireland into two parts; it is rejected by the southern counties, where the Ango-Irish war continues for a year"
405,2000,"The NASDAQ Composite stock market index peaks at 5132.52, signalling the beginning of the end of the dot-com boom"
407,1502,"Ismail I, founder of the Safavid dynasty, crowned Shah of Persia (rules till 1524)"
411,2011,"9.0 magnitude earthquake strikes 130 km (80 miles) east of Sendai, Japan, triggering a tsunami killing thousands of people and causing the second worst nuclear accident in history"
413,1455,"First record of Johannes Gutenberg's Bible, letter dated this day by Enea Silvio Piccolomini refers to the bible printed a year before"
418,1591,Battle at Tondibi: Moroccan army under Judar defeats Sultan Askia Ishaq II of Songhai
419,1781,"William Herschel sees what he thinks is a ""comet"" but is actually the discovery of the planet Uranus"
421,1903,"Fall of the Sokoto Caliphate in Northern Nigeria, the British claim supremacy of over 500,000 square miles"
423,2003,"The journal Nature reports that 350,000-year-old footprints of an upright-walking human have been found in Italy"
424,1590,Battle of Ivry: French King Henry IV beats Catholic League during French Wars of Religion
425,1794,Eli Whitney patents the cotton gin machine revolutionizing the cotton industry in the southern US states
433,1783,"In an emotional speech in Newburgh, New York, George Washington asks his officers not to support the Newburgh Conspiracy. The plea is successful and the threatened coup d'etat never takes place."
434,1917,"Nicholas II, the last Russian Tsar abdicates and nominates his brother Grand Duke Michael to succeed him [OS Mar 2]"
437,1527,Battle of Khanua: Mughal Emperor Babur defeats Rajput forces led by Rana Sanga consolidating Mughal power
439,1792,King Gustav III of Sweden is shot by Count Anckarström at a masked ball at the Opera; he dies on March 29
440,1867,"First publication of an article by Joseph Lister outlining the discovery of antiseptic surgery, in ""The Lancet"""
444,1861,Italy is unified into a single kingdom under Victor Emmanuel II following the campaigns led by Giuseppe Garibaldi
445,1905,"Albert Einstein finishes his scientific paper detailing his Quantum Theory of Light, one of the foundations of modern physics"
446,1939,Battle of Nanchang between the Kuomintang and the Japanese breaks out (Sino-Japanese War 1937-1945)
448,1123,"1st Latern Council (9th ecumenical council) opens in Rome, agreements of the Concordat of Worms ratified"
449,1314,"Jacques de Molay, the 23rd and the last Grand Master of the Knights Templar, is burned at the stake by King Philip IV of France"
450,1325,"According to legend, Tenochtitlan is founded on this date. The event is depicted on the Mexican coat of arms."
451,1900,"Japan uses its influence over Korea to deny Russia's efforts to obtain a naval station at Korean Port of Masampo, the lead up to the Russo-Japanese war"
452,1922,British magistrates in India sentence Mahatma Gandhi to 6 years imprisonment for disobedience
453,1940,Benito Mussolini and Italy join Hitler in Germany's war against France & Britain
454,1965,"Cosmonaut Aleksei Leonov, leaving his spacecraft Voskhod 2 for 12 minutes, becomes the first person to walk in space."
456,1644,200 members of Peking imperial family and court commit suicide in loyalty to the Emperor
457,1863,"Confederate cruiser SS Georgiana destroyed on her maiden voyage with a cargo of munitions, and medicines then valued over $1,000,000. Wreck discovered exactly 102 years later by teenage diver and pioneer underwater archaeologist E. Lee Spence."
458,1920,US Senate rejects Treaty of Versailles for 2nd time refusing to ratify League of Nations' covenant (maintaining isolation policy)
460,2003,Invasion of Iraq by American and British-led coalition begins without United Nations support and in defiance of world opinion
462,1800,"Alessandro Volta reports his discovery of the electric battery in a letter to Joseph Banks, president of the Royal Society of London"
465,1900,US Secretary of State John Hay announces that all nations to whom he sent notes calling for an 'open door' policy in China have essentially accepted his stand
467,2016,"Barack Obama becomes the first US President to visit Cuba since 1928, arriving for a 2 day tour"
473,1622,"First American Indian (Powhattan) massacre of Europeans in Jamestown Virginia, 347 killed"
474,1765,"Stamp Act passed; 1st direct British tax on American colonists, organized by Prime Minister George Grenville"
475,1784,"The Emerald Buddha is moved with great ceremony to its current place in Wat Phra Kaew, Thailand"
476,1832,"British Parliament, led by Charles Grey, passes the Reform Act, introducing wide-ranging changes to electoral system of England and Wales, increasing electorate from about 500,000 voters to 813,000"
480,1490,"1st dated edition of Maimonides ""Mishneh Torah"", a code of Jewish religious law is published"
482,1775,"Patrick Henry proclaims ""Give me liberty or give me death"" in speech in favour of Virginian troops joining US Revolutionary war"
483,1919,"8th Congress of the Russian Communist Party re-establishes a five-member Politburo which becomes the center of political power in the Soviet Union. Original members Vladimir Lenin, Leon Trotsky, Joseph Stalin, Lev Kamenev and Nikolai Krestinsky"
485,1945,"Largest operation in WWII's Pacific War, 1,500 US Navy ships bomb the Japanese island of Okinawa"
486,1603,"Scottish King James VI son of Mary Queen of Scots, becomes King James I of England in succession to Elizabeth I, thus joining the English and Scottish crowns."
487,1721,"Johann Sebastian Bach dedicates his Brandenburg Concertos to Christian Ludwig, Margrave of Brandenburg-Schwedt"
489,1882,German scientist Robert Koch discovers and describes the tubercle bacillus which causes tuberculosis ( Mycobacterium tuberculosis)
492,1436,Florentine cathedral Cattedrale di Santa Maria del Fiore with dome by Filippo Brunelleschi consecrated by Pope Eugene IV (begun 1296)
493,1807,British Parliament abolishes slave trade throughout the British Empire; penalty of £120 per slave introduced for ship captains
496,1027,"Pope John XIX crowns Conrad II Holy Roman Emperor, founder of the Salian dynasty"
498,1871,Municipal elections bring revolutionaries to power in Paris to form Commune government
499,1909,"In support of Mohammed Ali Shah's coup d'etat against the constitutional government in Persia, a Russian military force invades northern Persia to relieve the siege of Tabriz"
502,1966,"Large-scale anti-Vietnam War protests take place in the United States, including in New York, Washington D.C. and Chicago"
503,1971,Bangladesh (East Pakistan) under Sheikh Mujibur Rahman declares its independence from Pakistan
507,1958,Nikita Khrushchev becomes Soviet Premier as well as First Secretary of the Communist Party
508,1977,583 die in aviation's worst ever disaster when two Boeing 747s collide at Tenerife airport
514,1946,"Cold War: The United States State Department releases the Acheson-Lilienthal Report, outlining a plan for the international control of nuclear power."
517,1901,Edmund Barton is elected Prime Minister in Australia's first parliamentary election
518,1912,"Captain Robert Scott, storm-bound in a tent near South Pole, makes last entry in his diary ""the end cannot be far"""
520,1974,"Chinese farmers discover the Terracotta Army near Xi'an, 8,000 clay warrior statues buried to guard tomb of China's 1st emperor Qin Shi Huang"
